id,price,dist_navy_pier_miles,is_landmark_proximate,transit_north_premium,is_premium_transit_hub,shoreline_gravity,dist_to_nearest_beach_miles,crime_density_total,nb_homicides_half_mile
45784632,113.0,3.8528,0,0.145,0.7035,0.293,2.5851,314.0505,1
45786059,155.0,2.7393,1,0.16,0.5982,0.3473,2.6097,383.6329,1
45788381,129.0,8.1264,0,0.0364,0.3326,0.3079,2.1474,397.8142,2
45792345,428.0,1.4931,1,0.2635,0.6568,0.6174,0.8518,842.8006,1
45792346,424.0,1.4931,1,0.2635,0.6568,0.6174,0.8518,842.8006,1
45798133,169.0,4.7481,0,0.1259,0.7239,0.2482,3.3443,258.2845,0
45798672,37.0,9.0276,0,0.0918,0.0,0.242,7.1549,90.0343,0
45812538,61.0,2.7978,1,0.1564,0.594,0.3434,2.702,383.6329,1
45812729,161.0,2.8302,1,0.1559,0.5973,0.3364,2.6806,383.6329,1
45826341,152.0,3.0493,1,0.1452,0.0,0.3179,2.9413,383.6329,1
45826540,150.0,3.123,1,0.1425,0.0,0.3101,2.9975,383.6329,1
45826931,136.0,3.1374,1,0.1412,0.0,0.3113,3.0467,383.6329,1
45827082,72.0,3.0939,1,0.1427,0.0,0.3162,3.0169,383.6329,1
45846603,129.0,4.0864,0,0.1206,0.6137,0.2321,3.5277,383.6329,0
45864010,99.0,1.2011,1,0.3002,0.6608,0.7761,0.5919,842.8006,1
45864022,125.0,1.1003,1,0.313,0.6575,0.8159,0.6446,842.8006,1
